,Job-Titles,Department,Salary-interval,Zip
8965,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,"83830.67341914715,113519.72658085285",8400
8966,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"73451.47341914715,103140.52658085285",31360
8967,LIEUTENANT-EMT,FIRE,"106973.47341914715,136662.52658085286",26510
8968,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",33480
8969,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",3110
8970,ADMINISTRATIVE SUPVSR,CITY CLERK,"60155.47341914715,89844.52658085285",28500
8971,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,"87383.47341914715,117072.52658085285",33320
8972,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",1400
8973,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",27350
8974,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"79277.47341914715,108966.52658085285",31260
8975,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",8440
8976,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",28110
8977,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",20160
8978,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,"81563.47341914715,111252.52658085285",30350
8979,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",9200
8980,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",3390
8981,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",33220
8982,LIEUTENANT,FIRE,"92945.47341914715,122634.52658085285",4200
8983,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",1300
8984,PARAMEDIC,FIRE,"60155.47341914715,89844.52658085285",29190
8985,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",29510
8986,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"83207.47341914715,112896.52658085285",1500
8987,DEPUTY COMPTROLLER,FINANCE,"103175.47341914715,132864.52658085286",6470
8988,ASST CHIEF OPERATING ENGINEER,GENERAL SERVICES,"93689.87341914714,123378.92658085284",31160
8989,FOSTER GRANDPARENT,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",2160
8990,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",26110
8991,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",33220
8992,LIBRARIAN II,PUBLIC LIBRARY,"69671.47341914715,99360.52658085285",29380
8993,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",28480
8994,ELEVATOR INSPECTOR,BUILDINGS,"106689.91341914715,136378.96658085287",31800
8995,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",2300
8996,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",2510
8997,PARAMEDIC,FIRE,"78821.47341914715,108510.52658085285",31800
8998,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",26140
8999,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"83207.47341914715,112896.52658085285",2190
9000,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",29990
9001,CAPTAIN-EMT,FIRE,"121949.47341914715,151638.52658085286",29440
9002,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",32310
9003,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",28260
9004,LIEUTENANT-EMT,FIRE,"99479.47341914715,129168.52658085285",4410
9005,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",26340
9006,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",1630
9007,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",28170
9008,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",31390
9009,PROJECT MANAGER - DOIT,DoIT,"94139.47341914715,123828.52658085285",27600
9010,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",33250
9011,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",2440
9012,CAPTAIN-EMT,FIRE,"121949.47341914715,151638.52658085286",8700
9013,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",33260
9014,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",33460
9015,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",33820
9016,OPERATING ENGINEER-GROUP C,AVIATION,"78901.07341914716,108590.12658085286",51130
9017,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",27220
9018,PLUMBING INSPECTOR,WATER MGMNT,"87665.47341914715,117354.52658085285",32220
9019,MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",2130
9020,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31440
9021,LEGISLATIVE AIDE,CITY COUNCIL,"60155.47341914715,89844.52658085285",29246
9022,COMMUNICATIONS OPERATOR I - 311,OEMC,"60155.47341914715,89844.52658085285",3120
9023,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",29950
9024,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",31320
9025,INVESTIGATOR-COPA,COPA,"60155.47341914715,89844.52658085285",29510
9026,ADMINISTRATIVE ASST II,AVIATION,"60155.47341914715,89844.52658085285",27440
9027,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",33890
9028,LIBRARIAN IV,PUBLIC LIBRARY,"85931.47341914715,115620.52658085285",27570
9029,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,"90959.47341914715,120648.52658085285",33350
9030,PARAMEDIC,FIRE,"69209.47341914715,98898.52658085285",9000
9031,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",27190
9032,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",27800
9033,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",4500
9034,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",1140
9035,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",31480
9036,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",32380
9037,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",33470
9038,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",51320
9039,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",20170
9040,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,"60155.47341914715,89844.52658085285",20243
9041,LEGISLATIVE AIDE,CITY COUNCIL,"60155.47341914715,89844.52658085285",1300
9042,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",33410
9043,LIEUTENANT-EMT,FIRE,"99479.47341914715,129168.52658085285",3320
9044,FIRE ENGINEER-PARAMEDIC,FIRE,"90959.47341914715,120648.52658085285",20112
9045,PARAMEDIC,FIRE,"61421.47341914715,91110.52658085285",31460
9046,FIREFIGHTER/PARAMEDIC,FIRE,"76427.47341914715,106116.52658085285",26400
9047,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",27370
9048,POOL MOTOR TRUCK DRIVER,WATER MGMNT,"60155.47341914715,89844.52658085285",29350
9049,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",29300
9050,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",5190
9051,SAFETY SPECIALIST,STREETS & SAN,"60155.47341914715,89844.52658085285",2100
9052,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",26560
9053,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",3150
9054,POLICE ADMINISTRATIVE CLERK,POLICE,"60155.47341914715,89844.52658085285",1480
9055,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",2270
9056,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",6750
9057,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",52190
9058,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",26470
9059,LIEUTENANT-EMT,FIRE,"99479.47341914715,129168.52658085285",26510
9060,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",20232
9061,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",8450
9062,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",1100
9063,SAFETY SPECIALIST,AVIATION,"60155.47341914715,89844.52658085285",27800
9064,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",27110
9065,PUBLIC HEALTH NUTRITIONIST II,HEALTH,"60155.47341914715,89844.52658085285",32200
9066,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",26100
9067,ASPHALT LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",30570
9068,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",28150
9069,LABORER - APPRENTICE,WATER MGMNT,"60155.47341914715,89844.52658085285",20128
9070,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",8210
9071,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",27330
9072,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",34260
9073,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",50510
9074,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",20243
9075,MANAGING DEPUTY DIR,FINANCE,"119471.47341914715,149160.52658085286",51290
9076,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",31140
9077,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",30230
9078,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,"81563.47341914715,111252.52658085285",52400
9079,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",3100
9080,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",33210
9081,FIREFIGHTER-EMT,FIRE,"88427.47341914715,118116.52658085285",26510
9082,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",20160
9083,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",20248
9084,CONCRETE LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",31150
9085,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",6210
9086,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",30600
9087,ASST DIR OF PERSONNEL SERVICES,FIRE,"92003.47341914715,121692.52658085285",3500
9088,PRINCIPAL CLERK-ELECTIONS,BOARD OF ELECTION,"60155.47341914715,89844.52658085285",7410
9089,PAYMENT SERVICES REPRESENTATIVE,CITY CLERK,"60155.47341914715,89844.52658085285",31600
9090,GENERAL FOREMAN OF LABORERS,TRANSPORTN,"77902.67341914715,107591.72658085285",26460
9091,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",26400
9092,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",32220
9093,PARAMEDIC I/C,FIRE,"79277.47341914715,108966.52658085285",2290
9094,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",32300
9095,OPERATING ENGINEER-GROUP C,AVIATION,"78901.07341914716,108590.12658085286",8130
9096,FIREFIGHTER,FIRE,"78821.47341914715,108510.52658085285",30430
9097,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",29400
9098,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",31210
9099,FIREFIGHTER,FIRE,"82541.47341914715,112230.52658085285",50480
9100,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",20290
9101,CONCRETE LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",51340
9102,POLICE LEGAL OFFICER II,POLICE,"109049.47341914715,138738.52658085286",28410
9103,EXEC ADMINISTRATIVE ASST I,AVIATION,"60155.47341914715,89844.52658085285",4100
9104,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",7600
9105,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",26600
9106,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",4240
9107,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",32720
9108,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",27240
9109,PARAMEDIC I/C,FIRE,"79277.47341914715,108966.52658085285",31600
9110,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",52220
9111,LIEUTENANT-EMT,FIRE,"106973.47341914715,136662.52658085286",33115
9112,CHIEF INVESTIGATOR (IG),INSPECTOR GEN,"86819.47341914715,116508.52658085285",30350
9113,POLICE COMMUNICATIONS OPERATOR I,OEMC,"60155.47341914715,89844.52658085285",20117
9114,INVESTIGATOR,FIRE,"60155.47341914715,89844.52658085285",1230
9115,SUPERVISING TRAFFIC CONTROL AIDE,OEMC,"60155.47341914715,89844.52658085285",20218
9116,ADMINISTRATIVE ASST II,ADMIN HEARNG,"60155.47341914715,89844.52658085285",31280
9117,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",33240
9118,NUTRITION TECHNICIAN,HEALTH,"60155.47341914715,89844.52658085285",30210
9119,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",30120
9120,POOL MOTOR TRUCK DRIVER,TRANSPORTN,"60155.47341914715,89844.52658085285",26220
9121,PARAMEDIC FIELD CHIEF,FIRE,"126125.47341914715,155814.52658085286",1300
9122,ALDERMANIC AIDE,CITY COUNCIL,"60155.47341914715,89844.52658085285",28410
9123,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",1130
9124,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",2440
9125,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",33890
9126,DIR OF ADMINISTRATIVE SERVICES,COPA,"70151.47341914715,99840.52658085285",31350
9127,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",7130
9128,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,"60155.47341914715,89844.52658085285",27380
9129,FIREFIGHTER-EMT (RECRUIT),FIRE,"60155.47341914715,89844.52658085285",20170
9130,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",51800
9131,CAPTAIN-EMT,FIRE,"121949.47341914715,151638.52658085286",7240
9132,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",1290
9133,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"73451.47341914715,103140.52658085285",9320
9134,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",27240
9135,PARAMEDIC,FIRE,"60155.47341914715,89844.52658085285",3500
9136,POOL MOTOR TRUCK DRIVER,WATER MGMNT,"60155.47341914715,89844.52658085285",26230
9137,SENIOR AIR MASK TECHNICIAN,FIRE,"77711.47341914715,107400.52658085285",52120
9138,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",31530
9139,LIEUTENANT,POLICE,"112847.47341914715,142536.52658085286",27480
9140,ASST CHIEF PLUMBING INSPECTOR,BUILDINGS,"95978.47341914715,125667.52658085285",30260
9141,CARPENTER,WATER MGMNT,"79483.47341914715,109172.52658085285",27190
9142,AVIATION SECURITY OFFICER,AVIATION,"60155.47341914715,89844.52658085285",32120
9143,ELECTRICAL MECHANIC,AVIATION,"81043.47341914715,110732.52658085285",2120
9144,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",30340
9145,EXPLOSIVES TECHNICIAN I,POLICE,"100001.47341914715,129690.52658085285",26230
9146,AUTO POUND SUPVSR,STREETS & SAN,"86699.47341914715,116388.52658085285",7270
9147,AVIATION SECURITY OFFICER,AVIATION,"60155.47341914715,89844.52658085285",4220
9148,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",33240
9149,ASST DEPUTY CHIEF PARAMEDIC,FIRE,"141515.47341914714,171204.52658085286",31540
9150,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",50720
9151,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",26730
9152,LIEUTENANT-EMT,FIRE,"106973.47341914715,136662.52658085286",20217
9153,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",26600
9154,LIEUTENANT,FIRE,"100001.47341914715,129690.52658085285",31350
9155,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",51600
9156,GARAGE ATTENDANT,GENERAL SERVICES,"60155.47341914715,89844.52658085285",5130
9157,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",32300
9158,BATTALION CHIEF,FIRE,"126125.47341914715,155814.52658085286",2200
9159,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",31570
9160,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,"83830.67341914715,113519.72658085285",5230
9161,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",31580
9162,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,"81563.47341914715,111252.52658085285",20143
9163,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",30210
9164,LIBRARY PAGE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",7220
9165,AUDITOR IV,FINANCE,"105467.47341914715,135156.52658085286",4270
9166,PLUMBER,WATER MGMNT,"85515.47341914715,115204.52658085285",31150
9167,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",4250
9168,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",3310
9169,CAPTAIN-EMT,FIRE,"121949.47341914715,151638.52658085286",32100
9170,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",26270
9171,PLUMBER,WATER MGMNT,"85515.47341914715,115204.52658085285",26390
9172,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",30350
9173,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",28330
9174,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",2860
9175,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",32230
9176,TRAINING OFFICER,POLICE,"77747.47341914715,107436.52658085285",27440
9177,STREET LIGHT REPAIR WORKER,TRANSPORTN,"86867.47341914715,116556.52658085285",2120
9178,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",33126
9179,FIREFIGHTER,FIRE,"75179.47341914715,104868.52658085285",3220
9180,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",33750
9181,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",1230
9182,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",31310
9183,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",28260
9184,FIRE ENGINEER-EMT,FIRE,"88505.47341914715,118194.52658085285",20113
9185,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"79277.47341914715,108966.52658085285",7600
9186,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",50520
9187,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",32380
9188,ADMINISTRATIVE SERVICES OFFICER I,FIRE,"60155.47341914715,89844.52658085285",28250
9189,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",50810
9190,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",9240
9191,HOISTING ENGINEER,TRANSPORTN,"84579.47341914715,114268.52658085285",5230
9192,CONCRETE LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",30540
9193,MOTOR TRUCK DRIVER,STREETS & SAN,"60305.873419147145,89994.92658085284",52000
9194,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",2320
9195,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",27390
9196,LIBRARIAN I,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",2580
9197,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",32130
9198,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",27420
9199,ARCHITECT IV,BUILDINGS,"80735.47341914715,110424.52658085285",50870
9200,MACHINIST,WATER MGMNT,"81563.47341914715,111252.52658085285",32350
9201,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",52410
9202,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",6470
9203,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",2880
9204,CLERK III,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",6850
9205,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",33540
9206,STAFF ASST,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",33570
9207,MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",33126
9208,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",1190
9209,PROPERTY CUSTODIAN - AUTO POUND,STREETS & SAN,"60155.47341914715,89844.52658085285",20232
9210,FIREFIGHTER-EMT (RECRUIT),FIRE,"60155.47341914715,89844.52658085285",2500
9211,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",31580
9212,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",2700
9213,ADMINISTRATIVE ASST II,LAW,"60155.47341914715,89844.52658085285",27310
9214,DEPUTY DIR,POLICE,"105599.47341914715,135288.52658085286",31160
9215,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",51700
9216,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",52160
9217,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",32120
9218,LIEUTENANT,POLICE,"105407.47341914715,135096.52658085286",50640
9219,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",32600
9220,PARAMEDIC I/C (ASSIGNED AS TRAINING INSTRUCTOR),FIRE,"92945.47341914715,122634.52658085285",20270
9221,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",32350
9222,DEPUTY CHIEF OF STAFF,MAYOR'S OFFICE,"140147.47341914714,169836.52658085286",32600
9223,REFUSE COLLECTION COORD,STREETS & SAN,"86699.47341914715,116388.52658085285",30350
9224,PARAMEDIC,FIRE,"61421.47341914715,91110.52658085285",29190
9225,ELECTRICAL INSPECTOR,BUILDINGS,"85319.47341914715,115008.52658085285",50390
9226,FIRST DEPUTY FIRE COMMISSIONER,FIRE,"182891.47341914714,212580.52658085286",31290
9227,HUMAN SERVICE SPECIALIST II,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",6260
9228,OPERATING ENGINEER-GROUP A,AVIATION,"83830.67341914715,113519.72658085285",1290
9229,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",31310
9230,BEHAVIORAL HEALTH ASSISTANT,HEALTH,"60155.47341914715,89844.52658085285",52160
9231,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",7700
9232,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",6670
9233,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",50310
9234,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",2840
9235,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",27520
9236,ADMINISTRATIVE SERVICES OFFICER II,STREETS & SAN,"91607.47341914715,121296.52658085285",26400
9237,STATIONARY FIREMAN,WATER MGMNT,"60155.47341914715,89844.52658085285",20228
9238,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",1130
9239,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",26250
9240,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",50480
9241,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",33230
9242,PARALEGAL II,LAW,"77747.47341914715,107436.52658085285",1260
9243,BRIDGE AND STRUCTURAL IRON WORKER,TRANSPORTN,"81251.47341914715,110940.52658085285",9100
9244,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",50680
9245,LIEUTENANT-PARAMEDIC,FIRE,"109883.47341914715,139572.52658085286",9130
9246,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",30200
9247,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",1350
9248,CITY PLANNER V,COMMUNITY DEVELOPMENT,"69479.47341914715,99168.52658085285",31460
9249,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",52150
9250,FIRE ENGINEER-EMT,FIRE,"95369.47341914715,125058.52658085285",7570
9251,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",20253
9252,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",26410
9253,AVIATION SECURITY OFFICER,AVIATION,"60155.47341914715,89844.52658085285",1510
9254,SUPERVISING POLICE COMMUNICATIONS OPERATOR,OEMC,"84179.47341914715,113868.52658085285",2700
9255,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",4340
9256,FIREFIGHTER/PARAMEDIC,FIRE,"79631.47341914715,109320.52658085285",27460
9257,SANITATION CLERK,STREETS & SAN,"60155.47341914715,89844.52658085285",33620
9258,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",29400
9259,ASST CHIEF OPERATING ENGINEER,WATER MGMNT,"93689.87341914714,123378.92658085284",2300
9260,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",51600
9261,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",20119
9262,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",20240
9263,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",31360
9264,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,"79679.47341914715,109368.52658085285",30260
9265,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",33540
9266,ADMINISTRATIVE ASST III - EXCLUDED,INSPECTOR GEN,"60155.47341914715,89844.52658085285",33190
9267,LIEUTENANT-EMT,FIRE,"99479.47341914715,129168.52658085285",7300
9268,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",27600
9269,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",33460
9270,CARPENTER,AVIATION,"79483.47341914715,109172.52658085285",6660
9271,CLERK III,POLICE,"60155.47341914715,89844.52658085285",29550
9272,FOREMAN OF ELECTRICAL MECHANICS,AVIATION,"87283.47341914715,116972.52658085285",32300
9273,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",5140
9274,FIREFIGHTER,FIRE,"75179.47341914715,104868.52658085285",31350
9275,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",27370
9276,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",7200
9277,FIRE ENGINEER,FIRE,"86135.47341914715,115824.52658085285",31260
9278,ADMINISTRATIVE ASST III,HEALTH,"69575.47341914715,99264.52658085285",31110
9279,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",3390
9280,POLICE ADMINISTRATIVE CLERK,POLICE,"60155.47341914715,89844.52658085285",2210
9281,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",1260
9282,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",31800
9283,LINEMAN,TRANSPORTN,"86867.47341914715,116556.52658085285",1200
9284,PARAMEDIC,FIRE,"60155.47341914715,89844.52658085285",50190
9285,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",51140
9286,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",2350
9287,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",29260
9288,CAPTAIN-EMT,FIRE,"121949.47341914715,151638.52658085286",27920
9289,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",51700
